Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,GoalDifference,ShotsEffiency_Home,ShotsEffiency_Away,HomeTeamPoints,AwayTeamPoints,HomeTeamGoalDifference,AwayTeamGoalDifference
2021-22,2021-08-13T20:00:00Z,Brentford,Arsenal,2,0,1,1,0,H,M Oliver,8,22,3,4,2,5,12,8,0,0,0,0,2,0.375,0.18181818181818182,3,0,2,-2.0
2021-22,2021-08-14T12:30:00Z,Man United,Leeds,5,1,1,1,0,H,P Tierney,16,10,8,3,5,4,11,9,1,2,0,0,4,0.5,0.3,3,0,4,-4.0
2021-22,2021-08-14T15:00:00Z,Burnley,Brighton,1,2,-1,1,0,H,D Coote,14,14,3,8,7,6,10,7,2,1,0,0,-1,0.21428571428571427,0.5714285714285714,0,0,-1,1.0
2021-22,2021-08-14T15:00:00Z,Chelsea,Crystal Palace,3,0,1,2,0,H,J Moss,13,4,6,1,5,2,15,11,0,0,0,0,3,0.46153846153846156,0.25,3,0,3,-3.0
2021-22,2021-08-14T15:00:00Z,Everton,Southampton,3,1,1,0,1,A,A Madley,14,6,6,3,6,8,13,15,2,0,0,0,2,0.42857142857142855,0.5,3,0,2,-2.0
2021-22,2021-08-14T15:00:00Z,Leicester,Wolves,1,0,1,1,0,H,C Pawson,9,17,5,3,5,4,6,10,1,2,0,0,1,0.5555555555555556,0.17647058823529413,3,0,1,-1.0
2021-22,2021-08-14T15:00:00Z,Watford,Aston Villa,3,2,1,2,0,H,M Dean,13,11,7,2,2,4,18,13,3,1,0,0,1,0.5384615384615384,0.18181818181818182,3,0,1,-1.0
2021-22,2021-08-14T17:30:00Z,Norwich,Liverpool,0,3,-1,0,1,A,A Marriner,14,19,3,8,3,11,4,14,1,1,0,0,-3,0.21428571428571427,0.42105263157894735,0,0,-3,3.0
2021-22,2021-08-15T14:00:00Z,Newcastle,West Ham,2,4,-1,2,1,H,M Atkinson,17,8,3,9,7,6,4,3,1,0,0,0,-2,0.17647058823529413,1.125,0,0,-2,2.0
2021-22,2021-08-15T16:30:00Z,Tottenham,Man City,1,0,1,0,0,D,A Taylor,13,18,3,4,3,11,11,8,2,1,0,0,1,0.23076923076923078,0.2222222222222222,3,0,1,-1.0
2021-22,2021-08-21T12:30:00Z,Liverpool,Burnley,2,0,1,1,0,H,M Dean,27,9,9,3,8,4,6,12,0,0,0,0,2,0.3333333333333333,0.3333333333333333,3,0,5,-3.0
2021-22,2021-08-21T15:00:00Z,Aston Villa,Newcastle,2,0,1,1,0,H,D Coote,10,9,2,1,3,4,8,18,3,4,0,0,2,0.2,0.1111111111111111,3,0,1,-4.0
2021-22,2021-08-21T15:00:00Z,Crystal Palace,Brentford,0,0,0,0,0,D,M Atkinson,7,14,2,3,3,5,12,9,3,1,0,0,0,0.2857142857142857,0.21428571428571427,1,4,-3,2.0
2021-22,2021-08-21T15:00:00Z,Leeds,Everton,2,2,0,1,1,D,D England,17,17,4,8,8,5,6,13,2,4,0,0,0,0.23529411764705882,0.47058823529411764,1,4,-4,2.0
2021-22,2021-08-21T15:00:00Z,Man City,Norwich,5,0,1,2,0,H,G Scott,16,1,4,0,6,1,13,7,1,0,0,0,5,0.25,0.0,3,0,4,-8.0
2021-22,2021-08-21T17:30:00Z,Brighton,Watford,2,0,1,2,0,H,A Taylor,13,10,3,1,7,2,11,6,4,0,0,0,2,0.23076923076923078,0.1,3,3,3,-1.0
2021-22,2021-08-22T14:00:00Z,Southampton,Man United,1,1,0,1,0,H,C Pawson,8,15,3,4,7,7,12,10,2,3,0,0,0,0.375,0.26666666666666666,1,4,-2,4.0
2021-22,2021-08-22T14:00:00Z,Wolves,Tottenham,0,1,-1,0,1,A,S Attwell,25,8,6,6,5,4,9,7,1,4,0,0,-1,0.24,0.75,0,3,-2,2.0
